CARTS_NET	AGEBAND	SEX	QWORK	EDUCAT3	FINHARD	CINTOFT	gor	rur11cat	CHILDHH	COHAB
2	9	2	2	2	2	2	8	1	0	-3
1	3	1	5	-3	4	1	5	2	3	-3
1	3	2	1	1	1	1	6	2	2	-3
1	3	1	8	-3	1	1	6	2	2	-3
1	11	1	6	2	2	1	2	2	0	-3
1	4	2	4	-3	3	1	7	2	0	2
1	10	1	2	1	2	2	2	2	0	-3
1	3	2	1	1	2	1	2	2	0	2
1	11	1	6	1	1	2	3	1	0	-3
1	11	2	6	2	997	2	3	1	0	-3
1	2	1	2	2	2	1	4	2	0	2
2	9	2	1	-3	2	1	4	2	0	-3
2	6	1	1	-3	2	1	4	2	0	-3
2	9	2	1	-3	2	1	4	2	0	-3
1	8	2	1	2	3	2	9	2	0	-3
1	12	2	6	-3	2	2	5	2	0	-3
1	12	1	6	-3	2	3	5	2	0	-3
1	7	1	1	1	2	2	2	2	2	2
1	14	1	6	-3	997	4	7	2	0	-3
1	10	2	1	1	3	1	7	2	0	-3
1	3	2	4	1	4	1	7	2	0	2
1	10	2	1	2	3	1	6	2	0	-3
1	2	2	1	2	3	1	6	2	0	2
1	2	1	1	2	2	2	6	2	0	2
1	6	2	1	2	2	2	6	1	0	-3
1	6	1	1	2	2	1	6	1	0	-3
1	3	2	1	-3	2	1	5	2	0	-3
1	6	1	1	1	2	1	7	2	1	-3
1	14	1	6	-3	2	5	2	2	0	-3
1	3	2	1	2	1	2	6	1	0	-3
1	8	1	1	-3	2	2	3	2	0	-3
2	9	2	1	2	2	1	3	2	4	-3
1	5	2	1	1	1	2	4	2	0	-3
1	13	2	10	1	1	2	6	2	0	-3
1	13	1	6	1	1	2	6	2	0	-3
1	10	1	6	1	2	2	3	1	0	-3
1	12	2	2	1	2	2	3	1	0	-3
1	4	1	999	1	5	1	4	2	0	-3
1	5	2	1	-3	4	2	3	2	0	-3
1	10	1	9	-3	997	2	2	2	0	-3
1	10	2	1	1	1	1	5	1	0	-3
1	10	1	6	2	1	2	5	1	0	-3
1	5	1	1	1	3	1	7	2	0	-3
1	13	2	-4	-3	4	-3	2	2	0	-3
1	13	1	6	-3	4	-3	2	2	0	-3
1	10	1	6	2	1	2	9	1	0	-3
1	11	2	6	2	1	-3	9	1	0	-3
1	2	1	1	2	1	1	3	2	0	-3
1	2	1	3	1	3	1	2	2	0	2
1	2	1	3	1	2	1	2	2	0	2
1	6	2	1	-3	2	2	2	2	1	1
1	14	2	6	2	2	2	9	2	0	-3
1	14	1	6	2	2	3	9	2	0	-3
1	12	2	6	2	3	3	2	2	0	-3
2	5	1	1	-3	5	2	8	2	1	1
1	7	2	1	2	2	1	2	2	0	-3
1	6	1	1	2	2	1	2	2	0	-3
1	1	1	3	2	2	1	2	2	0	2
1	3	1	1	1	2	1	7	2	0	2
1	2	1	3	2	997	1	7	2	0	2
2	997	1	997	-3	997	1	7	2	0	2
1	7	1	-3	-3	-3	2	4	2	0	2
1	11	2	1	2	3	-3	7	2	0	-3
1	3	1	1	1	2	1	2	2	0	1
1	8	1	1	2	3	1	9	2	0	-3
1	9	2	997	-3	3	-3	4	2	0	-3
1	4	1	2	-3	997	1	3	2	0	1
2	997	997	997	-3	997	-3	3	2	4	997
1	8	1	1	2	3	2	3	2	0	-3
1	2	1	3	1	2	1	3	2	0	2
1	2	1	1	1	2	1	3	2	0	2
1	11	2	2	1	1	2	9	1	0	-3
1	2	1	3	2	4	1	8	2	0	1
1	9	2	10	2	1	1	7	2	0	-3
1	11	2	1	1	1	1	7	2	0	-3
1	13	2	6	-3	1	3	8	2	0	-3
1	5	1	2	1	3	1	2	2	0	-3
1	8	2	1	1	4	1	2	2	0	-3
1	8	2	1	2	2	2	2	2	0	1
1	7	1	2	2	3	2	2	2	0	1
1	5	1	8	1	2	1	5	2	1	-3
1	6	2	1	2	2	1	5	2	1	-3
1	11	2	6	2	2	4	4	2	0	-3
1	5	1	997	-3	4	1	8	2	1	1
1	6	2	1	1	2	1	8	2	0	-3
1	6	1	1	1	2	1	8	2	0	-3
1	1	1	3	2	1	1	8	2	1	2
1	11	1	6	2	1	2	8	2	0	-3
1	4	1	1	2	2	1	2	2	1	-3
1	4	2	1	-3	2	1	2	2	1	-3
1	14	1	6	997	997	3	5	2	0	-3
1	13	2	6	999	997	2	8	2	0	-3
1	5	2	1	1	2	1	7	2	2	-3
1	5	1	1	1	1	1	7	2	2	-3
1	6	1	1	1	2	1	8	2	0	-3
1	4	1	1	1	1	1	5	2	0	1
1	5	1	1	2	2	1	5	2	0	-3
1	12	2	6	2	3	2	9	2	0	-3
1	10	2	1	1	2	1	4	2	0	-3
1	6	1	1	2	2	2	1	1	2	-3
2	5	2	1	1	2	2	1	1	2	-3
1	8	2	1	1	1	1	7	2	0	-3
1	12	2	6	2	2	2	5	1	0	-3
1	11	2	1	1	1	1	2	2	0	-3
1	6	1	5	-3	3	1	3	2	1	-3
1	11	1	6	2	2	2	8	2	0	-3
1	14	1	6	-3	5	-3	4	2	0	-3
1	4	2	1	2	3	2	9	2	2	-3
2	4	1	2	-3	3	2	9	2	2	-3
1	13	1	6	2	2	2	8	2	0	-3
1	11	1	6	1	1	2	1	2	0	2
1	5	1	1	1	3	1	3	2	1	-3
1	5	2	2	2	4	1	3	2	1	-3
1	3	1	9	999	2	1	2	2	2	2
1	9	1	1	1	2	1	7	2	0	-3
1	3	2	1	1	3	1	2	2	0	-3
2	6	2	1	1	2	2	1	2	2	-3
1	4	1	2	1	2	2	1	2	2	-3
1	10	1	2	1	2	2	8	2	0	-3
1	11	2	6	1	2	1	2	1	0	-3
1	9	1	6	2	2	2	2	1	0	-3
1	8	1	2	2	5	1	9	2	1	-3
1	9	1	2	2	2	2	4	2	0	-3
1	1	1	3	-3	2	2	4	2	0	2
1	3	1	997	-3	2	1	4	2	0	2
1	10	2	1	-3	3	2	3	2	0	-3
1	11	2	2	-3	2	1	3	2	0	-3
1	11	2	6	1	2	1	3	2	0	-3
2	13	2	6	-3	-4	1	8	2	0	-3
1	12	1	6	997	3	2	8	2	0	-3
1	14	1	6	-3	3	2	2	1	0	-3
1	13	2	6	2	3	2	5	2	0	-3
1	4	1	2	2	3	1	3	1	1	2
1	9	1	-3	-3	-3	2	1	2	0	-3
2	9	2	1	2	3	1	9	1	0	-3
1	9	2	1	2	2	2	3	2	0	1
1	8	2	1	2	2	2	3	2	0	1
2	8	1	1	2	2	2	3	2	0	2
1	3	1	1	1	2	1	7	2	0	1
1	3	2	1	-3	2	2	7	2	0	1
1	10	1	2	-3	1	1	3	2	0	-3
2	10	2	1	2	2	1	3	2	0	-3
1	4	2	997	2	2	1	3	2	0	2
1	2	1	4	-3	1	1	6	2	0	2
1	8	1	9	-3	1	1	6	2	0	2
1	10	1	1	2	3	1	6	2	0	2
2	2	1	997	-3	4	1	6	2	0	2
2	3	2	4	-3	997	1	6	2	0	2
1	7	1	1	-3	2	2	6	2	0	-3
1	5	1	997	2	2	1	2	1	3	-3
2	4	2	1	-3	1	1	2	1	3	-3
1	5	1	2	1	1	1	9	2	0	1
1	11	1	4	2	5	1	9	2	0	2
1	13	1	6	-3	2	-3	2	2	0	-3
2	997	997	997	-3	997	-3	6	2	4	997
1	11	2	6	2	2	1	8	2	0	-3
1	10	1	2	-3	2	2	8	2	0	-3
1	10	1	6	2	2	2	6	2	0	-3
1	5	1	2	1	1	1	8	2	1	-3
1	12	1	2	1	2	2	9	2	0	-3
1	7	2	1	2	4	2	7	2	0	-3
1	7	1	2	1	1	1	9	2	3	-3
1	10	1	2	999	2	3	8	2	0	-3
1	3	1	2	-3	3	1	5	2	1	1
1	10	1	9	2	4	-3	5	2	0	-3
1	11	2	6	2	2	2	2	2	0	-3
1	12	1	6	2	2	2	2	2	0	-3
1	7	2	1	-3	2	2	9	2	0	-3
1	9	1	2	2	2	3	6	2	0	-3
1	10	1	2	2	1	2	3	1	0	-3
1	9	1	1	2	1	1	3	1	0	-3
1	13	2	6	2	2	2	6	1	0	-3
1	6	1	2	1	1	1	9	2	2	-3
1	9	1	2	1	3	2	8	2	0	-3
1	2	1	1	2	4	1	2	2	0	2
2	9	1	2	1	5	5	2	2	4	2
1	11	1	6	-3	2	2	1	2	0	-3
1	8	2	2	1	5	2	5	2	0	-3
1	11	2	6	2	1	2	8	1	0	-3
1	11	1	8	1	1	2	8	1	0	-3
1	13	2	6	2	2	2	2	2	0	-3
1	13	1	6	2	2	2	2	2	0	-3
1	12	2	6	2	2	2	2	1	0	-3
1	12	1	6	-3	2	3	2	1	0	-3
1	7	1	1	-3	3	1	7	2	1	1
1	13	1	6	2	2	1	8	2	0	-3
1	13	2	6	2	2	2	8	2	0	-3
1	4	1	1	1	2	1	2	2	2	1
1	5	2	1	2	4	2	2	2	2	-3
1	12	2	6	-3	3	2	1	2	0	-3
2	5	2	1	1	4	2	1	2	1	1
2	5	1	2	2	5	1	1	2	1	1
1	1	2	3	2	4	1	1	2	1	2
2	6	2	1	1	3	2	2	2	0	-3
1	4	1	1	1	2	2	2	2	0	1
1	12	1	6	-3	2	2	2	2	0	2
1	13	1	6	1	1	3	7	2	0	-3
1	7	1	9	2	3	2	7	2	2	1
1	8	2	8	-3	2	1	7	2	2	1
1	1	1	997	997	2	-3	7	2	2	2
1	6	1	1	1	2	1	7	2	1	1
1	7	2	1	1	3	1	7	2	1	1
1	10	2	6	1	1	1	7	2	0	-3
1	10	1	6	1	1	2	7	2	0	-3
1	7	1	1	2	3	1	3	2	1	-3
1	8	2	1	2	2	1	3	2	1	-3
1	1	1	3	-3	2	1	3	2	1	2
1	4	1	3	2	2	1	2	2	0	1
1	4	2	1	-3	3	1	2	2	0	1
1	7	1	1	1	3	2	8	2	1	-3
1	13	1	6	2	1	2	8	2	0	-3
1	11	1	6	2	1	2	8	1	0	1
1	13	2	6	2	2	2	8	1	0	1
1	7	1	1	1	3	1	1	2	0	-3
1	10	2	6	1	2	2	1	1	0	-3
1	13	1	6	1	2	1	3	2	0	-3
1	14	2	6	2	4	-3	3	2	0	-3
1	1	2	3	2	1	1	7	2	1	2
1	7	1	6	1	1	2	7	2	1	-3
1	7	2	1	1	1	2	7	2	1	-3
1	13	2	6	-3	2	2	4	1	0	-3
1	4	1	1	1	997	1	3	2	0	-3
1	4	2	1	2	1	1	3	2	0	-3
1	4	1	1	1	1	1	7	2	0	-3
1	7	1	1	1	2	1	9	1	0	-3
1	8	2	1	1	1	2	9	1	0	-3
1	8	1	2	1	1	1	7	2	0	-3
1	1	1	3	2	3	1	7	2	1	1
1	1	2	3	-3	2	1	7	2	0	1
1	7	2	1	1	1	3	7	2	0	-3
1	3	1	2	1	4	1	3	2	0	2
1	9	2	2	1	2	1	3	2	0	-3
1	8	1	1	1	2	2	3	2	0	-3
1	11	1	6	2	2	2	8	1	0	-3
1	14	2	6	1	1	2	2	2	0	-3
1	13	1	6	2	1	2	2	2	0	-3
1	9	1	2	1	1	2	2	2	0	-3
1	2	1	3	2	2	1	4	2	0	-3
1	9	1	1	1	2	2	4	2	0	-3
1	6	2	1	2	2	1	7	2	1	-3
1	14	1	-4	-3	3	-3	1	2	0	-3
1	997	1	6	1	997	2	2	2	0	-3
1	6	2	1	1	1	2	7	2	0	-3
1	6	1	8	-3	2	2	7	2	0	-3
1	997	1	6	-3	2	2	6	2	0	-3
1	10	2	9	2	997	2	8	2	0	-3
1	11	1	2	2	2	2	8	2	0	-3
1	7	1	9	1	3	2	7	2	0	2
1	1	1	3	-3	2	1	7	2	0	2
1	4	1	1	1	4	2	7	2	1	-3
2	5	2	1	1	4	1	7	2	1	-3
2	3	2	2	1	5	2	7	2	1	2
1	3	1	1	1	3	1	7	2	0	1
1	4	2	1	1	2	1	7	2	0	1
2	14	2	6	-3	3	3	7	2	0	-3
1	5	1	4	-3	4	2	5	2	3	1
1	5	2	1	1	2	2	5	2	3	1
1	4	1	1	2	3	1	7	2	2	-3
1	10	1	2	2	1	1	5	2	0	-3
1	10	2	2	2	1	1	5	2	0	-3
2	14	1	6	-3	5	2	2	1	0	-3
1	7	1	1	2	3	2	8	1	1	-3
1	8	2	1	2	5	2	8	2	0	-3
1	4	1	2	-3	5	2	3	2	4	2
2	1	1	999	-3	5	3	3	2	4	2
1	4	1	2	1	3	1	5	2	0	-3
1	5	1	1	2	2	2	5	2	0	2
1	3	1	997	-3	4	4	5	2	4	1
1	9	1	9	2	4	3	3	1	0	2
2	7	2	9	999	3	4	3	1	0	2
1	3	1	1	1	1	1	7	2	0	2
1	2	2	2	2	2	1	7	2	0	2
1	9	2	1	2	1	2	7	2	0	-3
1	9	1	8	2	2	2	7	2	0	-3
1	9	2	1	1	2	2	7	2	0	-3
2	15	2	6	2	3	5	9	2	0	-3
1	6	2	1	2	3	2	8	2	1	-3
1	2	1	1	2	4	1	8	2	1	-3
1	6	1	8	-3	3	5	8	2	1	-3
1	8	2	4	-3	5	-3	5	2	0	-3
1	13	1	6	2	3	4	2	2	0	-3
1	11	1	1	1	1	2	8	2	0	-3
1	10	2	1	1	1	1	8	2	0	-3
1	8	2	1	2	3	1	2	2	0	-3
1	8	1	1	1	3	1	2	2	0	-3
1	9	1	2	1	2	1	8	1	0	-3
1	9	2	997	-3	997	1	8	1	0	-3
1	12	2	1	2	2	3	6	2	0	-3
1	7	1	1	1	1	2	1	1	0	-3
1	7	2	1	2	1	2	1	1	0	-3
1	1	2	3	2	3	2	1	1	0	2
1	11	1	10	1	1	2	2	2	0	-3
1	4	2	1	1	2	2	5	2	0	-3
1	4	1	1	1	1	2	5	2	0	-3
1	6	2	1	1	2	2	5	2	0	-3
1	9	1	2	2	3	2	3	2	0	-3
1	11	2	6	2	2	2	3	2	0	-3
1	4	1	9	2	4	1	4	2	0	-3
1	5	2	1	997	4	2	8	1	1	-3
2	14	2	6	-3	2	2	3	2	0	-3
1	12	1	6	1	2	2	2	2	0	1
1	8	2	1	2	4	2	2	1	0	-3
1	7	1	1	1	3	2	2	1	0	-3
1	2	1	1	997	4	2	2	1	0	2
1	1	1	3	2	5	2	2	1	0	2
1	8	1	1	1	2	2	2	2	0	-3
1	11	2	6	1	2	2	4	2	0	-3
1	2	2	1	2	3	1	6	2	0	2
1	9	2	1	1	2	2	7	2	1	1
1	13	2	6	-3	1	2	9	1	0	-3
1	11	2	6	1	3	2	4	1	0	-3
1	4	2	1	2	4	1	3	2	0	1
1	997	1	1	2	2	2	3	2	0	1
1	12	1	6	2	1	3	8	2	0	-3
1	12	2	6	2	2	1	8	2	0	-3
1	4	1	1	1	3	1	2	2	0	1
1	4	2	1	1	2	1	2	2	0	1
1	13	2	6	-3	2	2	2	1	0	-3
1	13	2	6	-3	3	2	2	1	0	-3
1	9	2	1	2	2	1	6	1	0	-3
1	8	1	2	2	2	2	7	2	2	-3
1	9	2	8	2	2	1	7	2	0	-3
1	9	1	1	1	2	2	7	2	0	-3
2	14	2	6	-3	2	-3	3	2	0	-3
1	4	2	1	1	1	1	7	2	0	-3
1	1	1	4	-3	3	1	3	2	3	2
1	1	1	10	2	3	4	3	2	4	1
1	1	1	4	2	2	3	3	2	3	1
1	7	2	997	-3	3	4	6	2	1	-3
1	7	1	2	2	3	1	6	2	2	-3
1	2	2	997	-3	997	1	6	2	4	2
1	1	997	4	-3	4	1	6	2	1	997
1	13	1	6	1	1	3	8	2	0	-3
1	12	2	6	-3	2	4	8	2	0	-3
1	11	2	6	-3	2	5	4	2	0	-3
1	12	2	6	2	1	2	9	2	0	-3
1	12	1	6	2	1	1	9	2	0	-3
1	13	2	6	2	2	2	9	1	0	-3
1	13	1	6	2	2	-3	9	1	0	-3
1	4	1	1	2	3	2	1	2	0	-3
1	9	1	2	2	1	2	3	2	0	-3
1	9	2	2	2	2	2	3	2	0	-3
1	9	1	1	1	1	1	2	2	0	-3
1	2	1	4	-3	5	2	7	2	0	2
1	13	1	6	-3	5	-3	8	2	0	-3
2	13	2	6	2	4	4	8	2	0	-3
1	8	1	1	1	3	2	8	2	0	2
1	997	997	1	997	2	2	2	2	0	1
1	2	2	3	2	4	1	2	2	0	2
1	9	2	6	-3	2	2	1	1	0	-3
1	7	1	1	1	2	1	5	2	0	-3
1	5	1	4	-3	2	2	7	2	0	-3
2	11	2	6	2	2	2	3	2	0	-3
1	11	1	6	1	2	3	3	2	0	-3
1	4	2	1	1	2	1	8	2	0	1
1	3	1	1	1	3	1	8	2	0	1
1	13	997	6	2	997	-3	5	2	0	-3
1	4	2	1	1	1	1	1	2	0	-3
1	12	1	6	2	3	3	2	2	0	-3
1	13	2	6	2	3	-3	2	2	0	-3
1	11	2	6	-3	1	3	8	2	0	-3
1	10	1	1	2	1	3	8	2	0	-3
1	5	1	1	1	1	1	5	2	0	-3
1	10	2	6	2	3	2	3	2	0	-3
1	3	2	1	2	4	2	3	2	0	1
1	2	2	1	2	4	1	1	1	2	1
1	2	1	1	2	2	1	1	1	0	1
1	10	2	2	2	3	2	2	2	0	-3
1	6	1	1	1	2	2	8	2	0	-3
1	6	2	1	1	1	2	6	1	3	-3
1	13	2	6	1	2	2	8	2	0	-3
1	12	1	6	1	2	1	8	2	0	-3
1	12	1	6	2	2	2	6	2	0	1
1	13	1	6	-4	2	-3	4	1	0	-3
1	13	2	6	2	2	-3	4	1	0	-3
1	7	1	2	-3	4	4	1	2	0	1
1	9	2	2	2	3	1	1	2	0	1
1	11	2	2	2	3	2	9	1	0	-3
1	10	1	6	2	3	3	9	1	0	-3
2	15	1	6	1	2	2	9	1	0	2
1	13	1	6	1	2	2	9	1	0	2
1	6	1	8	2	2	2	6	1	4	-3
1	4	2	1	1	3	1	6	1	4	-3
1	10	2	1	2	2	1	7	2	0	1
1	10	1	9	-3	3	3	5	2	0	-3
1	6	1	1	1	2	1	8	2	0	2
1	12	1	6	2	2	-3	3	2	0	-3
1	13	2	6	2	2	4	3	2	0	-3
1	4	2	1	1	3	1	7	2	0	1
1	4	1	1	1	2	1	7	2	0	1
1	12	2	6	2	2	-3	3	1	0	-3
1	13	1	6	-3	2	5	5	2	0	-3
1	15	2	6	2	3	3	9	2	0	-3
1	14	2	6	2	3	4	9	2	0	-3
1	15	1	6	1	1	2	7	2	0	-3
1	4	2	1	1	2	1	4	2	1	-3
1	1	1	3	2	4	1	6	2	0	2
1	6	1	9	2	3	2	6	2	0	2
1	8	1	1	1	1	2	9	2	0	1
2	13	1	6	2	2	-3	2	2	0	-3
1	1	1	-3	-3	-3	1	8	2	3	2
1	11	2	2	2	4	2	7	2	0	1
1	13	1	1	2	3	2	7	2	0	1
1	7	1	1	1	2	1	2	2	0	-3
1	12	1	6	1	1	2	9	2	0	-3
1	13	2	6	-3	2	4	6	1	0	-3
1	8	1	1	2	3	2	6	1	1	-3
1	1	1	3	999	2	1	4	2	4	2
1	1	1	999	2	3	1	4	2	4	2
3	13	1	6	-3	4	-3	3	2	0	-3
1	4	2	1	1	1	1	5	2	1	-3
1	5	1	2	1	1	1	5	2	1	-3
1	8	2	1	1	2	1	3	1	0	-3
1	11	2	9	2	3	2	1	1	0	-3
1	13	1	6	1	3	1	1	1	0	-3
1	5	1	1	2	3	1	2	2	2	-3
2	6	2	1	2	3	1	2	2	2	-3
1	1	1	1	999	1	1	1	2	0	1
1	2	2	1	-3	1	1	1	2	0	1
1	11	2	6	2	2	2	9	2	0	-3
1	10	1	1	2	2	4	9	2	0	-3
1	6	2	1	1	3	1	7	2	0	2
1	12	1	6	1	3	1	7	2	0	2
1	2	1	1	1	1	2	2	2	0	1
1	10	2	1	1	2	2	4	1	0	-3
1	8	2	1	-3	1	4	4	2	0	2
1	13	1	997	-3	2	-3	4	2	1	-3
2	13	1	6	-3	3	3	3	2	0	-3
2	13	2	6	1	4	4	3	2	0	-3
1	13	1	-4	-3	3	-3	2	2	0	-3
2	8	2	1	-3	3	1	2	2	0	-3
1	8	1	1	1	2	2	7	2	0	-3
1	6	2	1	1	3	1	7	2	0	-3
1	5	1	1	1	5	1	7	2	0	-3
1	13	2	6	1	1	2	2	1	0	-3
1	5	2	1	2	1	1	7	2	2	-3
2	4	1	8	2	3	1	7	2	2	1
2	4	2	9	-3	3	1	7	2	2	1
1	7	2	1	2	3	1	9	2	1	-3
1	1	1	10	1	2	1	9	2	1	2
1	6	1	1	2	3	2	9	2	1	-3
1	8	1	1	2	3	1	7	2	0	-3
1	8	1	1	1	2	2	9	2	4	-3
1	11	2	9	2	3	-3	2	2	0	-3
1	5	2	1	1	2	1	7	2	3	-3
1	5	997	1	1	2	2	6	2	0	1
1	5	997	1	1	2	2	6	2	0	1
1	7	1	2	1	1	2	2	1	1	-3
1	13	2	6	1	2	2	9	1	0	-3
1	13	1	6	2	2	2	9	1	0	-3
1	14	1	6	2	2	2	8	1	1	-3
1	7	1	1	1	2	1	4	2	1	2
2	1	2	3	2	3	1	4	2	1	2
1	12	2	6	999	2	2	4	2	1	-3
1	10	2	6	2	3	2	7	2	4	1
1	10	1	6	2	2	2	7	2	0	1
1	6	997	3	2	2	2	7	2	0	2
1	8	1	1	1	3	1	7	2	0	2
1	10	2	2	1	1	1	7	2	0	-3
1	3	1	1	999	2	2	2	2	0	-3
1	5	1	1	1	2	2	6	2	0	-3
1	11	2	6	1	2	2	2	2	0	-3
1	11	1	6	2	2	2	2	2	0	-3
1	11	2	6	1	2	2	5	2	0	-3
1	13	2	6	2	3	2	6	1	0	-3
1	10	2	9	2	3	1	8	2	0	-3
1	1	1	3	1	1	1	7	2	3	2
1	1	1	1	-3	2	2	7	2	1	2
1	5	1	2	-3	5	2	9	2	1	997
1	13	2	6	2	2	2	2	2	0	-3
1	12	1	6	2	2	2	2	2	0	-3
1	9	1	2	2	2	2	2	2	0	2
1	9	1	8	-3	4	2	9	2	0	1
1	10	2	1	1	2	2	3	2	0	-3
1	9	1	1	2	2	1	3	2	0	-3
1	7	1	2	1	3	1	2	2	2	-3
1	11	1	6	2	1	1	5	1	0	-3
1	12	2	6	2	1	2	5	1	0	-3
1	12	2	6	997	2	-3	2	2	0	-3
1	12	1	6	2	2	2	1	1	0	-3
1	13	1	6	2	2	2	9	2	0	-3
1	14	2	6	2	1	1	9	2	0	-3
1	5	1	1	-3	2	4	2	2	0	-3
1	6	2	1	-3	3	1	2	2	0	-3
1	6	1	1	1	4	1	6	2	2	-3
3	8	2	-4	-3	-4	1	7	2	1	1
3	12	1	6	-3	-4	4	7	2	1	-3
1	10	2	1	-3	2	2	8	2	0	-3
1	6	1	1	1	1	1	8	2	0	-3
1	15	1	6	-3	1	5	6	1	0	-3
1	11	2	6	999	1	5	3	2	0	-3
1	11	2	9	-3	2	-3	3	2	0	-3
1	4	1	1	2	5	1	8	1	1	-3
2	4	2	1	999	3	1	8	1	1	-3
1	13	2	6	2	3	3	5	2	0	-3
1	1	1	3	-3	2	2	5	1	1	2
1	8	2	1	1	3	1	5	1	1	1
1	11	2	6	1	1	2	6	1	0	-3
1	11	2	6	1	1	2	5	2	0	-3
1	3	2	1	-3	5	1	4	2	0	2
2	2	2	10	-3	5	-3	4	2	0	2
2	3	2	1	-3	5	-3	4	2	0	2
1	6	2	1	-3	2	1	4	2	1	-3
1	13	2	6	-3	1	2	1	2	0	-3
1	13	1	6	999	2	2	1	2	0	-3
1	11	2	6	2	2	2	2	2	0	-3
1	12	2	6	1	1	2	6	2	0	-3
1	6	1	1	1	1	1	8	2	1	1
1	9	2	1	1	1	1	8	2	1	1
1	6	1	1	1	2	2	8	2	3	-3
1	15	1	6	2	2	2	9	1	0	-3
1	7	1	1	1	2	1	9	2	0	1
1	15	2	6	2	1	4	8	2	0	-3
1	5	1	8	-3	2	2	1	1	1	-3
1	14	1	6	-3	3	-3	7	2	0	-3
1	11	1	9	-3	997	5	3	2	0	-3
1	4	1	1	-3	2	3	8	2	2	-3
1	13	1	6	2	3	3	9	1	0	1
1	-3	-4	6	-3	4	-3	9	1	-4	-3
1	11	1	6	1	3	2	9	2	0	-3
1	12	2	6	1	4	1	3	1	0	-3
1	12	2	6	1	2	2	2	2	0	-3
1	12	1	6	-3	-3	5	2	2	0	-3
1	10	2	2	-3	3	1	8	2	0	-3
1	6	1	1	1	1	2	5	2	1	-3
1	6	2	1	1	1	1	5	2	1	-3
1	11	2	6	2	2	2	8	2	0	1
1	11	1	6	-3	2	2	8	2	0	1
1	6	2	6	1	4	1	7	2	0	2
1	13	2	6	997	2	3	1	1	0	-3
1	11	2	6	1	1	2	6	2	0	-3
1	12	1	6	-3	1	4	6	2	0	-3
1	6	1	1	2	5	1	2	1	1	-3
1	10	2	6	1	1	2	2	1	0	-3
1	9	1	10	1	2	2	2	1	0	-3
1	11	1	6	2	3	2	2	2	0	-3
1	10	1	2	2	1	1	3	2	0	-3
1	14	1	6	-3	3	-3	4	2	0	-3
1	15	2	6	2	3	-3	4	2	0	-3
1	6	1	2	2	3	1	4	2	1	-3
2	7	2	1	-3	3	1	4	2	1	-3
1	10	2	1	-3	3	3	8	2	0	-3
1	10	1	1	-3	3	4	8	2	0	-3
1	7	1	9	1	5	2	7	1	1	-3
1	9	1	9	1	5	2	7	1	1	-3
1	10	2	1	2	5	1	5	1	0	-3
1	10	1	1	2	3	4	5	1	0	-3
1	2	2	1	2	3	1	5	1	0	2
1	3	1	3	1	3	1	5	2	0	1
1	4	2	2	1	1	2	5	2	0	1
1	7	1	1	1	5	1	9	2	0	2
2	6	2	1	2	3	1	9	2	0	-3
1	12	1	6	2	2	1	6	2	0	-3
2	10	2	1	-3	3	3	6	2	0	-3
1	3	1	1	2	3	1	2	2	0	1
1	9	1	9	1	2	2	3	2	4	-3
1	9	2	1	1	1	1	3	2	4	-3
1	13	1	6	-3	2	3	2	1	0	-3
1	8	2	9	2	3	2	4	1	0	-3
1	5	1	997	-3	4	1	7	2	2	-3
1	1	1	997	-3	4	1	7	2	2	2
1	5	2	997	-3	4	1	7	2	2	-3
1	6	2	1	1	2	2	6	2	0	-3
1	9	1	2	1	1	2	5	2	0	-3
1	10	2	2	2	1	3	5	2	0	-3
1	7	2	1	-3	3	2	3	2	0	2
1	11	1	6	2	3	4	6	2	0	-3
1	1	1	4	2	2	1	1	2	4	2
1	5	1	8	2	2	1	1	2	4	-3
1	7	1	1	1	2	1	7	2	1	1
1	1	1	3	2	2	1	7	2	1	2
1	8	1	1	1	2	1	7	2	1	-3
1	10	1	9	-3	3	3	8	2	0	-3
1	3	2	1	1	1	1	7	2	0	2
1	12	2	6	-3	-4	2	3	2	0	-3
1	12	1	6	-4	3	1	3	2	0	-3
1	13	2	-4	-3	-4	2	4	2	0	-3
1	4	1	9	2	2	-4	3	2	1	-3
1	2	2	1	1	3	1	3	2	0	2
1	14	2	6	2	1	2	1	2	0	-3
1	13	2	2	2	1	2	4	1	0	-3
1	12	1	6	2	2	3	2	2	0	-3
1	12	2	6	2	2	4	2	2	0	-3
1	7	1	1	1	997	1	7	2	0	-3
1	4	2	1	1	1	1	1	2	0	-3
1	5	2	1	1	2	1	7	2	0	-3
1	5	1	1	2	2	1	7	2	0	-3
1	8	2	1	2	1	1	9	1	2	-3
1	8	1	1	2	2	1	1	2	0	2
1	13	2	6	2	2	2	8	2	0	-3
1	3	1	1	1	3	2	4	2	0	-3
1	14	2	6	2	2	2	8	2	0	-3
1	8	2	1	999	2	1	1	1	0	-3
1	6	1	1	2	2	2	9	2	1	-3
1	15	2	6	1	2	1	4	1	0	-3
1	9	2	6	1	1	2	2	1	0	-3
1	8	1	2	1	2	2	2	1	0	-3
1	1	1	3	2	2	1	2	1	0	2
1	11	1	6	2	1	2	6	2	0	-3
1	14	1	6	2	2	4	7	2	0	-3
1	9	1	2	2	2	1	9	1	0	1
1	10	2	2	2	2	2	9	1	0	1
1	4	1	1	1	2	1	7	2	0	-3
1	4	1	1	1	1	1	7	2	4	1
